3119MX,-1,EA,2ZJ4681961,140827252
1065MX,-1,EA,2ZJ4681961,140827252
1019MX,-1,EA,2ZJ4681961,140827252
1926MX,-1,EA,2T42355443,140821794
1428MX,-1,EA,2T42355443,140821794
0963MX,-1,EA,2T42355443,140821794
3119MX,-1,EA,2T42355443,140821794
0085MX,-2,EA,2T42355443,140821794
1019MX,-1,EA,2T42355443,140821794
464LMX,-1,EA,2T42357812,140827370
3525MX,-1,EA,2T42357812,140827370
1829MX,-1,EA,2T42354816,140820310
2631MX,-1,EA,2T42354816,140820310
0963MX,-1,EA,2T42354816,140820310
4000MX,-1,EA,2T42354816,140820310
1019MX,-1,EA,2T42354816,140820310
049KMX,-1,EA,2ZJ4681143,140825794
2648MX,-3,EA,2ZJ4681143,140825794
0831MX,-1,EA,2ZJ4681143,140825794
632AMX,-1,EA,2ZJ4681143,140825794
2631MX,-1,EA,2ZJ4681143,140825794
0964MX,-1,EA,2ZJ4681143,140825794
0899MX,-1,EA,2ZJ4681143,140825794
4000MX,-1,EA,2ZJ4681143,140825794
0085MX,-1,EA,2ZJ4681143,140825794
1019MX,-1,EA,2ZJ4681143,140825794
177MMX,-1,EA,2ZJ4680292,140824165
426MMX,-1,EA,2ZJ4680292,140824165
282MMX,-1,EA,2ZJ4680292,140824165
2631MX,-3,EA,2ZJ4680292,140824165
0964MX,-1,EA,2ZJ4680292,140824165
4002MX,-1,EA,2ZJ4680292,140824165
4000MX,-2,EA,2ZJ4680292,140824165
4001MX,-1,EA,2ZJ4680292,140824165
0085MX,-1,EA,2ZJ4680292,140824165
1610MX,-1,EA,2ZJ4682749,140828663
3119MX,-1,EA,2ZJ4682749,140828663
3146MX,-1,EA,2ZJ4682749,140828663
0085MX,-1,EA,2ZJ4682749,140828663
3121MX,-3,EA,2T42358370,140828624
044KMX,-2,EA,2T42358370,140828624
1610MX,-1,EA,2T42358370,140828624
177MMX,-3,EA,2T42357705,140827061
426MMX,-3,EA,2T42357705,140827061
282MMX,-3,EA,2T42357705,140827061
426MMX,-1,EA,2T42358175,140828174
282MMX,-1,EA,2T42358175,140828174
0079MX,-1,EA,2T42358214,140828373
0077MX,-1,EA,2T42358214,140828373
177MMX,-1,EA,2T42358274,140828453
426MMX,-1,EA,2T42358274,140828453
282MMX,-1,EA,2T42358274,140828453
1926MX,-2,EA,2T42358274,140828453
1094MX,-2,EA,2T42358274,140828453
0831MX,-1,EA,2T42356262,140823701
0922MX,-1,EA,2T42356262,140823701
0963MX,-1,EA,2T42356262,140823701
426MMX,-2,EA,2T42355238,140821350
282MMX,-2,EA,2T42355238,140821350
0267MX,-1,EA,2T42357649,140826916
0413MX,-1,EA,2T42357649,140826916
2648MX,-2,EA,2T42354984,140820853
2631MX,-1,EA,2T42354984,140820853
3119MX,-1,EA,2T42354984,140820853
0085MX,-1,EA,2T42354984,140820853
282MMX,-1,EA,2T42356806,140824989
0767MX,-1,EA,2T42356806,140824989
0766MX,-1,EA,2T42356806,140824989
3119MX,-1,EA,2T42356806,140824989
2131MX,-1,EA,2T42358072,140827917
1473MX,-1,EA,2T42358072,140827917
4002MX,-1,EA,2T42358072,140827917
4000MX,-1,EA,2T42358072,140827917
1926MX,-1,EA,2T42356519,140824276
0964MX,-1,EA,2T42356519,140824276
0963MX,-1,EA,2T42356519,140824276
0940MX,-1,EA,2T42356519,140824276
0085MX,-1,EA,2T42356519,140824276
1094MX,-1,EA,2T42356519,140824276
0032MX,-1,EA,2T42356519,140824276
1019MX,-1,EA,2T42356519,140824276
177MMX,-1,EA,2ZJ4682132,140827506
426MMX,-1,EA,2ZJ4682132,140827506
282MMX,-1,EA,2ZJ4682132,140827506
1926MX,-1,EA,2ZJ4682132,140827506
4004MX,-1,EA,2ZJ4682132,140827506
3119MX,-1,EA,2ZJ4682132,140827506
2641MX,-1,EA,2ZJ4682132,140827506
289KMX,-2,EA,2T42337218,140798327
0884MX,-2,EA,2T42337218,140798327
1829MX,-3,EA,2T42337218,140798327
1061MX,-5,EA,2T42337218,140798327
2631MX,-12,EA,2T42337218,140798327
1094MX,-5,EA,2T42337218,140798327
0565MX,-10,EA,2T42337218,140798327
1155MX,-10,EA,2T42337218,140798327
3121MX,-1,EA,2ZJ4681956,140827208
1638MX,-2,EA,2ZJ4681956,140827208
690095,-1,EA,2ZJ4681956,140827208
2131MX,-2,EA,2ZJ4681956,140827208
2555MX,-1,EA,2ZJ4681956,140827208
1473MX,-1,EA,2ZJ4681956,140827208
298A,-1,EA,2ZJ4681956,140827208
2631MX,-3,EA,2ZJ4681956,140827208
0922MX,-4,EA,2ZJ4681956,140827208
0963MX,-1,EA,2ZJ4681956,140827208
0963MX,-1,EA,2ZJ4681956,140827208
4011MX,-1,EA,2ZJ4681956,140827208
4002MX,-1,EA,2ZJ4681956,140827208
0366MX,-1,EA,2ZJ4681956,140827208
3119MX,-1,EA,2ZJ4681956,140827208
9947MX,-1,EA,2ZJ4681956,140827208
8504MX,-1,EA,2ZJ4681956,140827208
7056MX,-1,EA,2ZJ4681956,140827208
1019MX,-2,EA,2ZJ4681956,140827208
1841MX,-5,EA,2ZJ4681700,140826767
2631MX,-12,EA,2ZJ4681700,140826767
4002MX,-12,EA,2ZJ4681700,140826767
4004MX,-12,EA,2ZJ4681700,140826767
4000MX,-14,EA,2ZJ4681700,140826767
0064MX,-10,EA,2ZJ4681700,140826767
1065MX,-12,EA,2ZJ4681700,140826767
0370MX,-13,EA,2ZJ4681700,140826767
0370MX,-7,EA,2ZJ4681700,140826767
3123MX,-5,EA,2ZJ4681700,140826767
1019MX,-12,EA,2ZJ4681700,140826767
688NMX,-1,EA,2ZJ4682650,140828471
682NMX,-1,EA,2ZJ4682650,140828471
602797,-1,EA,2ZJ4682650,140828471
602764,-1,EA,2ZJ4682650,140828471
3C32MX,-1,EA,2ZJ4682384,140828015
688NMX,-1,EA,2ZJ4680293,140824163
682NMX,-1,EA,2ZJ4680293,140824163
602797,-1,EA,2ZJ4680293,140824163
602764,-1,EA,2ZJ4680293,140824163
0370MX,-1,EA,2ZJ4680293,140824163
3115MX,-1,EA,2ZJ4680293,140824163
426MMX,-1,EA,2ZJ4681203,140825880
282MMX,-1,EA,2ZJ4681203,140825880
4000MX,-1,EA,2ZJ4681203,140825880
0565MX,-1,EA,2ZJ4681203,140825880
3115MX,-1,EA,2ZJ4681203,140825880
0413MX,-2,EA,2ZJ4681415,140826216
1065MX,-1,EA,2ZJ4667978,140791988
1610MX,-1,EA,2T42355816,140822684
3119MX,-1,EA,2T42355816,140822684
0085MX,-1,EA,2T42355816,140822684
1638MX,-3,EA,2T42358042,140827847
049KMX,-4,EA,2T42358042,140827847
044KMX,-3,EA,2T42358042,140827847
0884MX,-4,EA,2T42358042,140827847
0831MX,-4,EA,2T42358042,140827847
1428MX,-3,EA,2T42358042,140827847
2631MX,-6,EA,2T42358042,140827847
0922MX,-3,EA,2T42358042,140827847
0963MX,-3,EA,2T42358042,140827847
0940MX,-4,EA,2T42358042,140827847
2644MX,-2,EA,2T42358042,140827847
4002MX,-4,EA,2T42358042,140827847
4004MX,-4,EA,2T42358042,140827847
4000MX,-4,EA,2T42358042,140827847
3119MX,-4,EA,2T42358042,140827847
1095MX,-4,EA,2T42358042,140827847
2641MX,-2,EA,2T42358042,140827847
1188MX,-4,EA,2T42358042,140827847
1065MX,-6,EA,2T42358042,140827847
0085MX,-3,EA,2T42358042,140827847
0032MX,-3,EA,2T42358042,140827847
1019MX,-6,EA,2T42358042,140827847
177MMX,-5,EA,2T42358307,140828481
426MMX,-5,EA,2T42358307,140828481
282MMX,-5,EA,2T42358307,140828481
1061MX,-1,EA,2T42358307,140828481
0963MX,-1,EA,2T42358057,140828012
3119MX,-1,EA,2T42358057,140828012
1065MX,-1,EA,2T42358057,140828012
0085MX,-1,EA,2T42358057,140828012
177MMX,-5,EA,2T42358395,140828761
2648MX,-1,EA,2T42358119,140828031
1417MX,-1,EA,2T42358119,140828031
3525MX,-1,EA,2T42358119,140828031
3C61MX,-1,EA,2ZJ4682743,140828650
3C61MX,-1,EA,11J4682753,140828623
688NMX,-1,EA,2ZJ4682351,140827909
682NMX,-1,EA,2ZJ4682351,140827909
602797,-1,EA,2ZJ4682351,140827909
602764,-1,EA,2ZJ4682351,140827909
688NMX,-1,EA,2ZJ4682494,140828200
682NMX,-1,EA,2ZJ4682494,140828200
602797,-1,EA,2ZJ4682494,140828200
602764,-1,EA,2ZJ4682494,140828200
3119MX,-1,EA,2T42357828,140827361
0413MX,-1,EA,2T42357828,140827361
3C32MX,-1,EA,2ZJ4682837,140828806
177MMX,-1,EA,2ZJ4677546,140819203
282MMX,-1,EA,2ZJ4677546,140819203
0413MX,-2,EA,2ZJ4677546,140819203
0413MX,-4,EA,2ZJ4681530,140826464
2631MX,-1,EA,2T42356952,140825334
2644MX,-1,EA,2T42356952,140825334
0884MX,-1,EA,2ZJ4679628,140823014
1610MX,-1,EA,2ZJ4679628,140823014
1926MX,-2,EA,2ZJ4679628,140823014
4002MX,-1,EA,2ZJ4679628,140823014
4000MX,-3,EA,2ZJ4679628,140823014
4001MX,-1,EA,2ZJ4679628,140823014
1065MX,-1,EA,2ZJ4679628,140823014
1019MX,-4,EA,2ZJ4679628,140823014
2131MX,-1,EA,2ZJ4682641,140828460
4000MX,-1,EA,2ZJ4682641,140828460
1095MX,-2,EA,2ZJ4682641,140828460
1065MX,-1,EA,2ZJ4682641,140828460
0085MX,-3,EA,2ZJ4682641,140828460
1019MX,-1,EA,2ZJ4682641,140828460
1829MX,-1,EA,2ZJ4661436,140778255
2131MX,-1,EA,2ZJ4661436,140778255
4004MX,-1,EA,2ZJ4661436,140778255
4001MX,-1,EA,2ZJ4661436,140778255
1188MX,-1,EA,2ZJ4661436,140778255
0079MX,-1,EA,2ZJ4661436,140778255
0565MX,-1,EA,2ZJ4661436,140778255
3150MX,-1,EA,2ZJ4661436,140778255
3115MX,-1,EA,2ZJ4661436,140778255
0085MX,-3,EA,2ZJ4679119,140822052
0963MX,-1,EA,2ZJ4681823,140826996
0085MX,-1,EA,2ZJ4681823,140826996
1019MX,-2,EA,2ZJ4681823,140826996
3C32MX,-1,EA,2ZJ4681940,140827186
0831MX,-1,EA,2ZJ4678768,140821382
2374MX,-1,EA,2ZJ4678768,140821382
1061MX,-1,EA,2ZJ4678768,140821382
0413MX,-5,EA,2ZJ4678768,140821382
0085MX,-1,EA,2ZJ4678768,140821382
163LMX,-1,EA,2ZJ4678258,140820503
0964MX,-1,EA,2ZJ4678258,140820503
0366MX,-1,EA,2ZJ4678258,140820503
1019MX,-1,EA,2ZJ4678258,140820503
3C61MX,-1,EA,2ZJ4682176,140827625
214MMX,-1,EA,2T42356687,140824659
177MMX,-1,EA,2T42356687,140824659
203MMX,-1,EA,2T42356687,140824659
426MMX,-1,EA,2T42356687,140824659
0768MX,-1,EA,2T42356687,140824659
0899MX,-1,EA,2T42356687,140824659
0766MX,-1,EA,2T42356687,140824659
